id,title,description,link,image_link,price,availability,condition,brand,gtin
"b2aacaec-8f69-4df9-898d-103e1d886f84","Довга натуральна перука","Ніяких перебільшень, ніяких масок — просто ти, така, як є. Мʼяке волосся лягає природно, довжина додає свободи. Це не аксесуар. Це продовження мови твого тіла. Цей образ — для тих, хто не боїться бути спокійною, глибокою, справжньою. Одягни — і не грай. Просто живи.","https://perukytut.com.ua/products/wigs/b2aacaec-8f69-4df9-898d-103e1d886f84","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/6b3e77ba-7b72-4d9c-8933-7ba3e05c4fde.jpg","6000 UAH","in stock","new","ПЕРУКИ ТУТ",""
"ff509198-cfce-40d2-b498-59d002b4c1bb","Довгий хвостик на шнурівці","Ідеальне рішення для тих, хто хоче додати довжини, об’єму або створити виразний силует без складного укладання. Гладка текстура, природний блиск і зручна система кріплення забезпечують комфорт і стиль у кожному русі.","https://perukytut.com.ua/products/tails/ff509198-cfce-40d2-b498-59d002b4c1bb","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/04d53fd2-9e31-4d26-b972-ec5a47b79bbc.jpg","6000 UAH","in stock","new","ПЕРУКИ ТУТ",""
"37f2a7b8-11c2-4a79-b5e5-0fa985dbe089","Коротка натуральна перука","Класична коротка перука з натурального волосся, стилізована у багатошарову стрижку з мʼякими лініями. ","https://perukytut.com.ua/products/wigs/37f2a7b8-11c2-4a79-b5e5-0fa985dbe089","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/11d57b15-6ac4-4dd4-92be-328e8c467b47.jpg","6000 UAH","in stock","new","ПЕРУКИ ТУТ",""
"97b674a2-f176-4a85-8b68-76290ea610ff","Натуральна перука середньої довжини","Ця перука — як тиха впевненість. Мʼякі шари, природний обʼєм — усе говорить про легкість і свободу. Волосся лягає так, ніби памʼятає твої рухи. Натуральний колір не кричить, а шепоче: «Я — твій стиль, твоя тиша, твоя сила». Ідеальна для тих, хто не грає ролі, а просто живе. Для ранкової кави, вечірньої прогулянки, несподіваного «так» у дзеркалі. Це не просто перука. Це продовження тебе. ","https://perukytut.com.ua/products/wigs/97b674a2-f176-4a85-8b68-76290ea610ff","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/e959b449-8566-4cb9-8212-59ceb9d17cf5.jpg","6500 UAH","in stock","new","ПЕРУКИ ТУТ",""
"2d166662-c091-483a-afd8-c9e7fca2b24e","Довгий,хвилястий хвостик на крабі","Просто прикріпи — і твій образ заграє новими фарбами. Матеріал термостійке волокно.","https://perukytut.com.ua/products/tails/2d166662-c091-483a-afd8-c9e7fca2b24e","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/35f2499c-bbb6-4b96-99c0-d5d08cd3038e.jpg","1300 UAH","in stock","new","ПЕРУКИ ТУТ",""
"8f321dc9-b092-4f39-8169-abb7d4f0b200","Екстрадовгий, хвилястий хвостик на крабі ","Цей хвостик створений для тих, хто хоче додати зачісці текстури й руху без складної укладки. Мʼякі локони, легке кріплення, природний обʼєм.","https://perukytut.com.ua/products/tails/8f321dc9-b092-4f39-8169-abb7d4f0b200","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/63fb4a76-dffd-483a-ab4e-27d9c21c9ac3.jpg","900 UAH","in stock","new","ПЕРУКИ ТУТ",""
"72a22aa1-4e3d-4e8a-8ce8-396ace2e8666","Хвостик з плетінням на крабі","Ти не маєш бути гучною, щоб бути помітною. Одягни. Відчуй. Залишайся собою.","https://perukytut.com.ua/products/tails/72a22aa1-4e3d-4e8a-8ce8-396ace2e8666","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/8e86e9e0-dcbb-40ac-9ca1-a89d71e6b7cf.jpg","500 UAH","in stock","new","ПЕРУКИ ТУТ",""
"f0aac056-395d-48c2-8ad3-e6b85c47799c","Довгий хвостик на крабі","Прямий з мʼякою хвилею — як думка, що не ламається. 60 см — простір для руху, не для компромісів.   ","https://perukytut.com.ua/products/tails/f0aac056-395d-48c2-8ad3-e6b85c47799c","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/d5097b02-f633-4f95-a97a-940c804b118a.jpg","1100 UAH","in stock","new","ПЕРУКИ ТУТ",""
"19264e25-ff7e-4179-82f2-6cc1324d8abf","Довга перука на пов’язці","Ця модель — вибір тих, хто хоче виглядати природно, але з характером. Додає об’єму, структури й впевненості. Ідеальна для тих, хто любить мінімалізм з акцентом. Легка посадка — не тисне, не сповзає. Ідеальна форма з об’ємом. Волосся не плутається, легко розчісується. Підходить для щоденного носіння, фотосесій. Не потребує складного догляду. ","https://perukytut.com.ua/products/wigs/19264e25-ff7e-4179-82f2-6cc1324d8abf","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/defa43af-07a4-458b-ba5d-e39f1d9a6fe4.jpg","2000 UAH","in stock","new","ПЕРУКИ ТУТ",""
"2d0c93ba-a34e-4508-b699-95ca0539cdb2","Коротка,пряма перука з чубчиком ","Перука, яка поєднує чітку геометрію і природну динаміку. Завдяки багатошаровій стрижці вона виглядає живо, легко вкладається і зберігає форму протягом дня. Ідеальний вибір для тих, хто шукає стильний, універсальний образ без зайвих деталей. Пасує до різних типів обличчя, легко адаптується під макіяж і аксесуари. ","https://perukytut.com.ua/products/wigs/2d0c93ba-a34e-4508-b699-95ca0539cdb2","https://images.perukytyt.com/cdn-cgi/image/width=600,height=900,quality=80,format=webp/2abf09f1-6038-4883-a340-a46a5bc15379.jpg","1500 UAH","in stock","new","ПЕРУКИ ТУТ",""
